"INDEX2","chat gpt"
"1","I would like to remind you."
"2","Main aapko yaad dilana chahta hoon."
"3","The airlines recommend you arrive at least 90 minutes before your flight departs."
"4","Airlines yeh recommend karti hain ki aap apni flight ke departure se kam se kam 90 minutes pehle pahunch jayein."
"5","Yes, of course."
"6","Haan, bilkul."
"7","To better assist you, could you let me know which country or countries you'll most often be calling?"
"8","Aapki madad behtar karne ke liye, kya aap mujhe bata sakte hain ki aap kis desh ya deshon ko zyada call karenge?"
"9","The refund will be processed within 3 to 5 business days."
"10","Refund 3 se 5 business din mein process hoga."
"11","It should appear in your account shortly after that."
"12","Uske baad, yeh aapke account mein jaldi dikhai dega"
"13","And see if there are any technical issues."
"14","  Aur dekhte hain agar koi technical problem hai."
"15","Issues we might be able to resolve on our end."
"16","  Aisi problem jo hum apni taraf se solve kar sakein."
"17","May I have your account number, please?"
"18","  Kya main aapka account number le sakta hoon?"
"19","If you're still unsatisfied."
"20","  Agar aap abhi bhi satisfied nahi hain."
"21","We can discuss further options for you at that time."
"22","  Tab hum aapke liye aur options discuss kar sakte hain."
"23","Would you like to try the Velocity Plus Plan?"
"24","  Kya aap Velocity Plus Plan try karna chahenge?"
"25","I completely understand your frustration."
"26","  Main aapki pareshaani ko poori tarah samajhta hoon."
"27","We'll do everything we can to ensure your refrigerator is working properly tomorrow."
"28","  Hum jo kuch kar sakte hain woh karenge taaki kal tak aapka refrigerator theek se kaam kare."
"29","Thank you, Miss Simpson."
"30","  Dhanyavaad, Miss Simpson."
"31","I will process the cancellation for you right away."
"32","  Main aapka cancellation turant process kar deta hoon."
"33","Is there anything else I can assist you with today?"
"34","  Kya aaj main aapki kisi aur cheez mein madad kar sakta hoon?"
"35","I'll make sure we resolve this issue promptly."
"36","  Main ye sunischit karunga ki hum is samasya ko jaldi se suljha lein."
"37","If you have any more concerns or questions."
"38","  Agar aapke paas aur koi chinta ya sawal ho."
"39","Please don't hesitate to reach out."
"40","  Kripya sampark karne mein hichkichayen mat."
"41","I'm very sorry to hear that."
"42","  Yeh sunkar mujhe bahut afsos hua."
"43","I do understand the situation."
"44","  Main is sthiti ko samajhta hoon."
"45","The best thing would be for us to issue you a new debit card."
"46","  Sabse achha yeh hoga ki hum aapko ek naya debit card issue kar dein."
"47","You're welcome."
"48","  Koi baat nahi."
"49","If you have any more questions or need further assistance."
